date,daily_sentiment_score,daily_sentiment_label,headline_count
2018-03-01,-0.08345714285714287,negative,7
2018-03-02,-0.0999,negative,6
2018-03-05,-0.11030000000000001,positive,6
2018-03-06,0.227525,positive,4
2018-03-07,-0.12527500000000003,negative,8
2018-03-08,0.037959999999999994,positive,5
2018-03-09,-0.24137999999999998,negative,5
2018-03-12,0.10478571428571429,positive,7
2018-03-13,0.13558333333333333,positive,6
2018-03-14,0.11760000000000001,positive,5
2018-03-15,0.1524142857142857,positive,7
2018-03-16,0.07881666666666666,positive,6
2018-03-19,0.016571428571428574,positive,7
2018-03-20,-0.18919999999999998,negative,5
2018-03-21,0.14329999999999998,positive,5
2018-03-22,0.12651428571428572,positive,7
2018-03-23,0.34220000000000006,positive,4
2018-03-26,-0.02652,negative,5
2018-03-27,0.32345,positive,6
2018-03-28,0.0951142857142857,positive,7
2018-03-29,0.009674999999999996,neutral,4
2018-04-02,0.19399999999999998,neutral,3
2018-04-03,-0.04075000000000001,negative,4
2018-04-04,-0.19510000000000002,neutral,2
2018-04-05,0.30035,positive,8
2018-04-06,-0.43015000000000003,negative,4
2018-04-09,-0.033716666666666666,negative,6
2018-04-10,0.12303750000000001,positive,8
2018-04-11,0.12076000000000002,positive,5
2018-04-12,0.23786666666666667,positive,6
2018-04-13,0.21872000000000003,positive,5
2018-04-16,-0.15176666666666666,neutral,6
2018-04-17,0.21757999999999997,positive,5
2018-04-18,-0.179075,negative,4
2018-04-19,-0.14014285714285715,positive,7
2018-04-20,0.04754000000000001,neutral,5
2018-04-23,-0.35604,negative,5
2018-04-24,0.1109,positive,5
2018-04-25,0.03294999999999998,neutral,2
2018-04-26,0.14100000000000001,positive,10
2018-04-27,-0.09532500000000001,neutral,4
2018-04-30,0.02844000000000002,neutral,5
2018-05-01,0.2768,positive,4
2018-05-02,-0.016760000000000008,negative,5
2018-05-03,0.1965625,positive,8
2018-05-04,0.16955714285714288,positive,7
2018-05-05,0.3818,positive,1
2018-05-07,0.19376,positive,5
2018-05-08,0.13525,positive,6
2018-05-09,0.17666666666666667,positive,3
2018-05-10,0.04540000000000002,positive,6
2018-05-11,0.13875,neutral,4
2018-05-14,-0.08895,negative,2
2018-05-15,0.11712,positive,5
2018-05-16,0.0040999999999999925,positive,7
